"","rt","shape_org","cueType","e1_motion_dir","e2_motion_dir","responseAR","cuedAR","uncuedAR","coherence","cued_motion_dir","uncued_motion_dir","response_error","trial_number","round_number","sub","arDiff","pairAvg","cuedMotDir1V0H2R","global_org1W0B","sameDirection1S0D","sameDirection1S0D_R2","pairSameARCat","identicalShapesI1D0","randomTrialsR1C0","motionType1Diag0Trans","responseAR_normed","uncuedCat","cuedCat","respAcc","globalMotion"
"9605",1864,3,2,270,270,-0.09,-0.14,0.05,1,270,270,0.04633,49,1,19106,0.18533,-0.046335,1,1,1,1,0,0,0,1,0.092668,"1",-1,1,"1"
"9606",1679,1,2,90,90,-0.28,-0.42,0.28,1,90,90,0.139,50,1,19106,0.69498,-0.0695,1,0,1,1,0,0,0,1,-0.12046,"1",-1,1,"1"
"9607",2434,4,2,270,270,-0.32,-0.46,-0.37,1,270,270,0.139,51,1,19106,0.09266,-0.41699,1,1,1,1,1,0,0,1,-0.07207,"-1",-1,1,"1"
"9610",1736,4,1,180,180,0.37,0.37,0.32,1,180,180,0,54,1,19106,-0.04633,0.347485,0,1,1,1,1,0,0,1,0.0884490909090909,"1",1,1,"-1"
"9611",1843,3,2,270,180,0.37,0.19,0.32,1,180,270,0.18533,55,1,19106,0.13899,0.254825,0,1,0,0,1,0,0,0,0.09781,"1",1,1,"-1"
"9613",2314,3,1,180,180,-0.28,-0.37,0.09,1,180,180,0.09266,57,1,19106,0.46332,-0.139,0,1,1,1,0,0,0,1,-0.06739,"1",-1,1,"-1"
"9614",4140,2,2,90,180,0.23,-0.28,0.32,1,180,90,0.50965,58,1,19106,0.60231,0.023165,0,0,0,0,0,0,0,0,0.355211111111111,"1",-1,0,"-1"
"9615",2397,2,1,180,180,0,-0.19,-0.19,1,180,180,0.18533,59,1,19106,0,-0.18533,0,0,1,1,1,1,0,1,0.130572727272727,"-1",-1,0,"-1"
"9616",2800,2,2,180,0,-0.09,0.09,-0.23,1,0,180,-0.18533,60,1,19106,-0.32432,-0.0695,0,0,0,0,0,0,0,0,-0.123546666666667,"-1",1,0,"-1"
"9620",2447,4,2,180,0,0.23,-0.23,0.32,1,0,180,0.46332,64,1,19106,0.55598,0.04633,0,1,0,0,0,0,0,0,0.3474925,"1",-1,0,"-1"
"9622",2462,3,1,0,0,0.23,0.37,-0.14,1,0,0,-0.139,66,1,19106,-0.50965,0.115825,0,1,1,1,0,0,0,1,-0.0505409090909091,"-1",1,1,"-1"
"9623",2562,1,2,270,270,-0.09,-0.19,0.46,1,270,270,0.09266,67,1,19106,0.64865,0.138995,1,0,1,1,0,0,0,1,0.0379127272727273,"1",-1,1,"1"
"9624",4015,4,2,90,0,-0.14,0.19,0.19,1,0,90,-0.32432,68,1,19106,0,0.18533,0,1,0,0,1,1,0,0,-0.41184,"1",1,0,"-1"
"9625",3006,2,2,90,0,0.37,0.37,0.37,1,0,90,0,69,1,19106,0,0.37065,0,0,0,0,1,1,0,0,0.0884490909090909,"1",1,1,"-1"
